,class-0,class-1,class-2
786O_KIDNEY,0.0,0.0,1.0
A1207_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
A172_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
A204_SOFT_TISSUE,0.0,0.0,1.0
A549_LUNG,0.0,0.0,1.0
ACHN_KIDNEY,0.0,0.0,1.0
AM38_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
C2BBE1_LARGE_INTESTINE,0.0,0.0,1.0
C32_SKIN,0.0,0.0,1.0
CAL120_BREAST,0.0,0.0,1.0
CALU1_LUNG,0.0,0.0,1.0
CAOV3_OVARY,0.0,0.0,1.0
CAOV4_OVARY,0.0,0.0,1.0
CAS1_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
COLO783_SKIN,0.0,0.0,1.0
COV504_OVARY,0.0,0.0,1.0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
DKMG_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
EFO27_OVARY,0.0,0.0,1.0
EWS502_BONE,0.0,0.0,1.0
GB1_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
HCC1395_BREAST,0.0,0.0,1.0
HCC364_LUNG,0.0,0.0,1.0
HCC44_LUNG,0.0,0.0,1.0
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
HS683_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
HS766T_PANCREAS,0.0,0.0,1.0
IGR39_SKIN,0.0,0.0,1.0
JHOM1_OVARY,0.0,0.0,1.0
KALS1_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
KNS60_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
KNS81_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
KP2_PANCREAS,0.0,0.0,1.0
KP4_PANCREAS,0.0,0.0,1.0
LN215_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN229_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN235_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN319_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN340_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN382_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LN443_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LNZ308_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
LOVO_LARGE_INTESTINE,0.0,0.0,1.0
LS411N_LARGE_INTESTINE,0.0,0.0,1.0
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
NCIH1792_LUNG,0.0,0.0,1.0
NCIH196_LUNG,0.0,0.0,1.0
NCIH1975_LUNG,0.0,0.0,1.0
NCIH2052_PLEURA,0.0,0.0,1.0
NCIH2171_LUNG,0.0,0.0,1.0
NCIH2452_PLEURA,0.0,0.0,1.0
NCIH441_LUNG,0.0,0.0,1.0
NCIH660_PROSTATE,0.0,0.0,1.0
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
OELE_OVARY,0.0,0.0,1.0
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
OV7_OVARY,0.0,0.0,1.0
OV90_OVARY,0.0,0.0,1.0
PANC1005_PANCREAS,0.0,0.0,1.0
QGP1_PANCREAS,0.0,0.0,1.0
RKN_SOFT_TISSUE,0.0,0.0,1.0
SF126_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SF295_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SJSA1_BONE,0.0,0.0,1.0
SKMEL5_SKIN,0.0,0.0,1.0
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0,0.0,1.0
SKOV3_OVARY,0.0,0.0,1.0
SLR21_KIDNEY,0.0,0.0,1.0
SLR23_KIDNEY,0.0,0.0,1.0
SLR24_KIDNEY,0.0,0.0,1.0
SLR25_KIDNEY,0.0,0.0,1.0
SLR26_KIDNEY,0.0,0.0,1.0
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SNUC2A_LARGE_INTESTINE,0.0,0.0,1.0
SW1783_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SW480_LARGE_INTESTINE,0.0,0.0,1.0
T98G_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
TCCSUP_URINARY_TRACT,0.0,0.0,1.0
TE15_OESOPHAGUS,0.0,0.0,1.0
TOV112D_OVARY,0.0,0.0,1.0
TT_OESOPHAGUS,0.0,0.0,1.0
TYKNU_OVARY,0.0,0.0,1.0
U343_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
