,class-0,class-1,class-2
AARS2,0.0,0.0,1.0
ABCB7,0.0,0.0,1.0
ABHD12,0.0,0.0,1.0
ABHD17A,0.0,0.0,1.0
ABL1,0.0,0.0,1.0
ABT1,0.0,0.0,1.0
ACACA,0.0,0.0,1.0
ACAD9,0.0,0.0,1.0
ACLY,0.0,0.0,1.0
ACO2,0.0,0.0,1.0
ACOT8,0.0,0.0,1.0
ACSL3,0.0,0.0,1.0
ACSS1,0.0,0.0,1.0
ACTB,0.0,0.0,1.0
ACTL6A,0.0,0.0,1.0
ACTR6,0.0,0.0,1.0
ACVR2A,0.0,0.0,1.0
ACVRL1,0.0,0.0,1.0
ADAM10,0.0,0.0,1.0
ADAMDEC1,0.0,0.0,1.0
ADAMTS20,0.0,0.0,1.0
ADAT3,0.0,0.0,1.0
COQ8B,0.0,0.0,1.0
ADNP,0.0,0.0,1.0
ADRA1B,0.0,0.0,1.0
ADRA2A,0.0,0.0,1.0
ADSL,0.0,0.0,1.0
ADSS,0.0,0.0,1.0
AES,0.0,0.0,1.0
AFG3L2,0.0,0.0,1.0
AGFG1,0.0,0.0,1.0
AHCTF1P1,0.0,0.0,1.0
AHCY,0.0,0.0,1.0
AHCYL1,0.0,0.0,1.0
AIFM1,0.0,0.0,1.0
AKAP10,0.0,0.0,1.0
ALDH3B1,0.0,0.0,1.0
ALDH6A1,0.0,0.0,1.0
ALDOA,0.0,0.0,1.0
ALPK3,0.0,0.0,1.0
ALYREF,0.0,0.0,1.0
AMELX,0.0,0.0,1.0
AMFR,0.0,0.0,1.0
AMH,0.0,0.0,1.0
ANAPC4,0.0,0.0,1.0
ANAPC5,0.0,0.0,1.0
ANGPT4,0.0,0.0,1.0
ANKK1,0.0,0.0,1.0
ANKRD17,0.0,0.0,1.0
AP1B1,0.0,0.0,1.0
AP2M1,0.0,0.0,1.0
AP2S1,0.0,0.0,1.0
AP3D1,0.0,0.0,1.0
AP3S1,0.0,0.0,1.0
APBA1,0.0,0.0,1.0
CENPS-CORT,0.0,0.0,1.0
APOBEC3C,0.0,0.0,1.0
AQP12A,0.0,0.0,1.0
AQR,0.0,0.0,1.0
ARCN1,0.0,0.0,1.0
ARF4,0.0,0.0,1.0
ARHGAP4,0.0,0.0,1.0
ARHGDIG,0.0,0.0,1.0
ARID1A,0.0,0.0,1.0
ARIH1,0.0,0.0,1.0
ARL2,0.0,0.0,1.0
ARL2-SNX15,0.0,0.0,1.0
ARPC1A,0.0,0.0,1.0
ARPC4,0.0,0.0,1.0
ARPC4-TTLL3,0.0,0.0,1.0
ASCC3,0.0,0.0,1.0
ASCL4,0.0,0.0,1.0
ASGR1,0.0,0.0,1.0
ASH2L,0.0,0.0,1.0
ASNS,0.0,0.0,1.0
ASNSD1,0.0,0.0,1.0
ATF4,0.0,0.0,1.0
ATF7,0.0,0.0,1.0
