filtered_avana
Original shape: (455, 211)
Cleaned shape: (455, 211)
Rank: 2 | iterations: 1000 | trials: 50
Rank: 3 | iterations: 1000 | trials: 50
Rank: 4 | iterations: 1000 | trials: 50
Rank: 5 | iterations: 1000 | trials: 50
Rank: 6 | iterations: 1000 | trials: 50
Rank: 7 | iterations: 1000 | trials: 50
Rank: 8 | iterations: 1000 | trials: 50
Rank: 9 | iterations: 1000 | trials: 50
Rank: 10 | iterations: 1000 | trials: 50
Rank: 11 | iterations: 1000 | trials: 50
Rank: 12 | iterations: 1000 | trials: 50
Rank: 13 | iterations: 1000 | trials: 50
Rank: 14 | iterations: 1000 | trials: 50
Rank: 15 | iterations: 1000 | trials: 50
Rank: 16 | iterations: 1000 | trials: 50
Rank: 17 | iterations: 1000 | trials: 50
Rank: 18 | iterations: 1000 | trials: 50
Rank: 19 | iterations: 1000 | trials: 50
