,class-0,class-1,class-2
786O_KIDNEY,0.0,0.0,1.0
8305C_THYROID,0.0,0.0,1.0
BT549_BREAST,0.0,0.0,1.0
CAL51_BREAST,0.0,0.0,1.0
CAS1_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
GAMG_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
HEYA8_OVARY,0.0,0.0,1.0
HS578T_BREAST,0.0,0.0,1.0
HS944T_SKIN,0.0,0.0,1.0
HT1376_URINARY_TRACT,0.0,0.0,1.0
IGR39_SKIN,0.0,0.0,1.0
IPC298_SKIN,0.0,0.0,1.0
KELLY_AUTONOMIC_GANGLIA,0.0,0.0,1.0
MDAMB415_BREAST,0.0,0.0,1.0
MFE319_ENDOMETRIUM,0.0,0.0,1.0
NCIH1792_LUNG,0.0,0.0,1.0
OSRC2_KIDNEY,0.0,0.0,1.0
RPMI7951_SKIN,0.0,0.0,1.0
RT112_URINARY_TRACT,0.0,0.0,1.0
SF295_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SKMEL30_SKIN,0.0,0.0,1.0
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
SNU349_KIDNEY,0.0,0.0,1.0
SNU685_ENDOMETRIUM,0.0,0.0,1.0
U118MG_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
U251MG_CENTRAL_NERVOUS_SYSTEM,0.0,0.0,1.0
U2OS_BONE,0.0,0.0,1.0
UACC257_SKIN,0.0,0.0,1.0
WM2664_SKIN,0.0,0.0,1.0
WM793_SKIN,0.0,0.0,1.0
769P_KIDNEY,0.0,1.0,0.0
A549_LUNG,0.0,1.0,0.0
C32_SKIN,0.0,1.0,0.0
CAKI1_KIDNEY,0.0,1.0,0.0
CAKI2_KIDNEY,0.0,1.0,0.0
CAL33_UPPER_AERODIGESTIVE_TRACT,0.0,1.0,0.0
CCK81_LARGE_INTESTINE,0.0,1.0,0.0
COLO679_SKIN,0.0,1.0,0.0
HEC1A_ENDOMETRIUM,0.0,1.0,0.0
HS695T_SKIN,0.0,1.0,0.0
HSC3_UPPER_AERODIGESTIVE_TRACT,0.0,1.0,0.0
HT1080_SOFT_TISSUE,0.0,1.0,0.0
HT1197_URINARY_TRACT,0.0,1.0,0.0
K029AX_SKIN,0.0,1.0,0.0
KMRC1_KIDNEY,0.0,1.0,0.0
KNS81_CENTRAL_NERVOUS_SYSTEM,0.0,1.0,0.0
KPL1_BREAST,0.0,1.0,0.0
KPNYN_AUTONOMIC_GANGLIA,0.0,1.0,0.0
KS1_CENTRAL_NERVOUS_SYSTEM,0.0,1.0,0.0
KU1919_URINARY_TRACT,0.0,1.0,0.0
LOVO_LARGE_INTESTINE,0.0,1.0,0.0
LS180_LARGE_INTESTINE,0.0,1.0,0.0
LS513_LARGE_INTESTINE,0.0,1.0,0.0
MDST8_LARGE_INTESTINE,0.0,1.0,0.0
MELHO_SKIN,0.0,1.0,0.0
MELJUSO_SKIN,0.0,1.0,0.0
MKN45_STOMACH,0.0,1.0,0.0
NB1_AUTONOMIC_GANGLIA,0.0,1.0,0.0
NCIH1573_LUNG,0.0,1.0,0.0
NCIH1944_LUNG,0.0,1.0,0.0
NCIH2052_PLEURA,0.0,1.0,0.0
NCIH2122_LUNG,0.0,1.0,0.0
NCIH460_LUNG,0.0,1.0,0.0
NCIN87_STOMACH,0.0,1.0,0.0
RMUGS_OVARY,0.0,1.0,0.0
RVH421_SKIN,0.0,1.0,0.0
SKHEP1_LIVER,0.0,1.0,0.0
SKNFI_AUTONOMIC_GANGLIA,0.0,1.0,0.0
SNGM_ENDOMETRIUM,0.0,1.0,0.0
SW403_LARGE_INTESTINE,0.0,1.0,0.0
SW48_LARGE_INTESTINE,0.0,1.0,0.0
TUHR4TKB_KIDNEY,0.0,1.0,0.0
U87MG_CENTRAL_NERVOUS_SYSTEM,0.0,1.0,0.0
UACC62_SKIN,0.0,1.0,0.0
WM115_SKIN,0.0,1.0,0.0
WM1799_SKIN,0.0,1.0,0.0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
A2058_SKIN,1.0,0.0,0.0
A2780_OVARY,1.0,0.0,0.0
ABC1_LUNG,1.0,0.0,0.0
AGS_STOMACH,1.0,0.0,0.0
BC3C_URINARY_TRACT,1.0,0.0,0.0
BFTC909_KIDNEY,1.0,0.0,0.0
BICR6_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
CAL27_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
CAL29_URINARY_TRACT,1.0,0.0,0.0
